出資元・企業ID,出資元・企業名,company_id,company_name,corporate_number,corporate_name,location,status,number_of_activity,update_date,LocName,lon,lat,iConf,iLvl,count
6097.0,Spiral Capital,6097.0,Spiral Capital,2010401125731,Ｓｐｉｒａｌ　Ｃａｐｉｔａｌ株式会社,東京都港区虎ノ門５丁目１１番１号,-,0,2019-08-27T00:00:00+09:00,東京都/港区/虎ノ門/５丁目/１１番/１号,139.74391866441013,35.6610009826668,5.0,8.0,1
6415.0,みずほキャピタル,6415.0,みずほキャピタル,2010001077605,みずほキャピタル株式会社,東京都千代田区内幸町１丁目２番１号,-,1,2018-04-05T00:00:00+09:00,東京都/千代田区/内幸町/１丁目/２番/１号,139.75633724216357,35.67018028440196,5.0,8.0,1
15475.0,三菱UFJイノベーション・パートナーズ,15475.0,三菱UFJイノベーション・パートナーズ,3010001197550,株式会社三菱ＵＦＪイノベーション・パートナーズ,東京都千代田区大手町１丁目１番１号,-,1,2022-01-19T00:00:00+09:00,東京都/千代田区/大手町/１丁目/１番/１号,139.7626660375068,35.68674859213947,5.0,8.0,1
17868.0,千葉道場,17868.0,千葉道場,2011001126863,千葉道場株式会社,東京都渋谷区恵比寿１丁目３１番１１−５０１号,-,5,2019-03-08T00:00:00+09:00,東京都/渋谷区/恵比寿/１丁目/３１番/１１号,139.71715150355342,35.64682185818766,5.0,8.0,1
4931.0,ジェネシア・ベンチャーズ,4931.0,ジェネシア・ベンチャーズ,6020001117694,株式会社ジェネシア・ベンチャーズ,東京都港区北青山３丁目３番１３号,-,2,2018-10-16T00:00:00+09:00,東京都/港区/北青山/３丁目/３番/１３号,139.7144808851333,35.667809427684375,5.0,8.0,1
5965.0,ディーエヌエックスベンチャーズ,5965.0,ディーエヌエックスベンチャーズ,6010001168243,ディー・エヌ・エックス・ベンチャーズ株式会社,東京都港区港南２丁目１５番１号,閉鎖,0,2022-04-05T00:00:00+09:00,東京都/港区/港南/２丁目/１５番/１号,139.7419301800295,35.627534689536574,5.0,8.0,1
5933.0,ANRI,5933.0,ANRI,2021001021865,アンリツ株式会社,神奈川県厚木市恩名５丁目１番１号,-,1440,2020-06-12T00:00:00+09:00,神奈川県/厚木市/恩名/５−１番地,139.35239088191076,35.434885960621195,4.0,8.0,1
7773.0,XTech Ventures,7773.0,XTech Ventures,6010001188927,ＸＴｅｃｈ　Ｖｅｎｔｕｒｅｓ株式会社,東京都中央区八重洲１丁目５番２０号東京建物八重洲さくら通りビル３階,-,0,2020-05-01T00:00:00+09:00,東京都/中央区/八重洲/１丁目/５番/２０号,139.77043557524448,35.68188934706737,5.0,8.0,1
6256.0,ゴールドマン・サックス証券,6256.0,ゴールドマン・サックス証券,9010401059056,ゴールドマン・サックス証券株式会社,東京都港区六本木６丁目１０番１号六本木ヒルズ森タワー,-,3,2018-04-24T00:00:00+09:00,東京都/港区/六本木/６丁目/１０番/１号,139.72921993379873,35.66041065464342,5.0,8.0,1
6246.0,グローバル・ブレイン,6246.0,グローバル・ブレイン,2010401077766,グローバル・ブレイン株式会社,東京都渋谷区桜丘町１０番１１号,-,9,2018-05-07T00:00:00+09:00,東京都/渋谷区/桜丘町/１０番/１１号,139.70215246189932,35.65460058189925,5.0,8.0,1
